,begin_shape_index,end_shape_index,length,speed,segment_id,starts_segment,ends_segment,begin_percent,end_percent,matched_segment_id,match
0,0,1,0.017,24,45002381874,False,False,0.0,1.0,45002381874,True
1,1,13,0.093,24,45002381874,False,False,0.0,1.0,45002381874,True
2,13,14,0.019,24,45002381874,False,False,0.0,1.0,64799496754,False
3,14,15,0.045,24,64799496754,True,True,0.0,1.0,64799496754,True
4,15,17,0.052,24,64799496754,False,False,0.0,1.0,64799496754,True
5,17,23,0.035,24,64799496754,False,False,0.0,1.0,64799496754,True
6,23,27,0.015,24,,,,,,174349194889,False
7,27,30,0.061,40,174349194889,False,False,0.0,1.0,174349194889,True
8,30,32,0.019,40,219513460361,True,True,0.0,1.0,219513460361,True
9,32,33,0.019,40,219513460361,False,False,0.0,1.0,219513460361,True
10,33,34,0.024,40,219513460361,False,False,0.0,1.0,219513460361,True
11,34,35,0.026,40,219513460361,False,False,0.0,1.0,219513460361,True
12,35,36,0.009,56,173241898633,True,True,0.0,1.0,173241898633,True
13,36,37,0.086,56,173241898633,False,False,0.0,1.0,173241898633,True
14,37,38,0.095,56,173241898633,False,False,0.0,1.0,173241898633,True
15,38,39,0.093,56,173241898633,False,False,0.0,1.0,173241898633,True
16,39,40,0.095,56,173241898633,False,False,0.0,1.0,173241898633,True
17,40,41,0.095,56,173241898633,False,False,0.0,1.0,173241898633,True
18,41,44,0.033,56,173241898633,False,False,0.0,1.0,173241898633,True
19,44,45,0.007,56,173241898633,False,False,0.0,1.0,83886102432,False
20,45,47,0.04,56,83886102432,True,True,0.0,1.0,83886102432,True
21,47,48,0.168,56,83886102432,False,False,0.0,1.0,83852548000,False
22,48,49,0.208,56,83886102432,False,False,0.0,1.0,83852548000,False
23,49,50,0.048,56,83852548000,True,True,0.0,1.0,83852548000,True
24,50,51,0.16,56,83852548000,False,False,0.0,1.0,83852548000,True
25,51,53,0.208,56,83852548000,False,False,0.0,1.0,83818993568,False
26,53,54,0.014,56,,,,,,83818993568,False
27,54,56,0.047,56,83818993568,True,True,0.0,1.0,83818993568,True
28,56,57,0.161,56,83818993568,False,False,0.0,1.0,83818993568,True
29,57,58,0.208,56,83818993568,False,False,0.0,1.0,71370299296,False
30,58,59,0.032,56,71370299296,True,True,0.0,1.0,71370299296,True
31,59,67,0.165,56,71370299296,False,False,0.0,1.0,71370299296,True
32,67,68,0.011,56,71370299296,False,False,0.0,1.0,71370299296,True
33,68,69,0.012,72,71370299296,False,False,0.0,1.0,71370299296,True
34,69,76,0.106,72,71370299296,False,False,0.0,1.0,71370299296,True
35,76,80,0.049,72,71370299296,False,False,0.0,1.0,71370299296,True
36,80,89,0.332,72,71370299296,False,False,0.0,1.0,71370299296,True
37,89,93,0.051,72,71370299296,False,False,0.0,1.0,71370299296,True
38,93,108,0.205,72,71370299296,False,False,0.0,1.0,71403853728,False
39,108,109,0.398,72,71403853728,True,True,0.0,1.0,71403853728,True
40,109,110,0.129,72,71403853728,False,False,0.0,1.0,71403853728,True
41,110,111,0.216,72,71403853728,False,False,0.0,1.0,90697652128,False
42,111,112,0.087,72,71403853728,False,False,0.0,1.0,90697652128,False
43,112,113,0.144,72,90697652128,True,True,0.0,1.0,90697652128,True
44,113,144,0.669,72,90697652128,False,False,0.0,1.0,88315287456,False
45,144,149,0.106,56,88315287456,True,True,0.0,1.0,79456917408,False
46,149,150,0.031,56,88315287456,False,False,0.0,1.0,79456917408,False
47,150,151,0.03,56,79456917408,True,True,0.0,1.0,79456917408,True
48,151,153,0.045,56,79456917408,False,False,0.0,1.0,88348841888,False
49,153,154,0.032,56,88348841888,True,True,0.0,1.0,88348841888,True
50,154,157,0.095,56,88348841888,False,False,0.0,1.0,88348841888,True
51,157,158,0.057,56,88348841888,False,False,0.0,1.0,88382396320,False
52,158,173,0.29,72,88382396320,True,True,0.0,0.333,88382396320,True
