,begin_shape_index,end_shape_index,length,speed,segment_id,starts_segment,ends_segment,begin_percent,end_percent,matched_segment_id,match
0,0,1,0.017,24,45002381874,False,False,0.0,1.0,,False
1,1,13,0.093,24,45002381874,False,False,0.0,1.0,207333201545,False
2,13,14,0.019,24,45002381874,False,False,0.0,1.0,207333201545,False
3,14,15,0.045,24,64799496754,True,True,0.0,1.0,,False
4,15,17,0.052,24,64799496754,False,False,0.0,1.0,,False
5,17,23,0.035,24,64799496754,False,False,0.0,1.0,174349194889,False
6,23,27,0.015,24,,,,,,207333201545,False
7,27,30,0.061,40,174349194889,False,False,0.0,1.0,207333201545,False
8,30,32,0.019,40,219513460361,True,True,0.0,1.0,,False
9,32,33,0.019,40,219513460361,False,False,0.0,1.0,211863049865,False
10,33,34,0.024,40,219513460361,False,False,0.0,1.0,174382749321,False
11,34,35,0.026,40,219513460361,False,False,0.0,1.0,174382749321,False
12,35,36,0.009,56,173241898633,True,True,0.0,1.0,219547014793,False
13,36,37,0.086,56,173241898633,False,False,0.0,1.0,219547014793,False
14,37,38,0.095,56,173241898633,False,False,0.0,1.0,563653237298,False
15,38,39,0.093,56,173241898633,False,False,0.0,1.0,,False
16,39,40,0.095,56,173241898633,False,False,0.0,1.0,,False
17,40,41,0.095,56,173241898633,False,False,0.0,1.0,,False
18,41,44,0.033,56,173241898633,False,False,0.0,1.0,,False
19,44,45,0.007,56,173241898633,False,False,0.0,1.0,,False
20,45,47,0.04,56,83886102432,True,True,0.0,1.0,,False
21,47,48,0.168,56,83886102432,False,False,0.0,1.0,,False
22,48,49,0.208,56,83886102432,False,False,0.0,1.0,,False
23,49,50,0.048,56,83852548000,True,True,0.0,1.0,,False
24,50,51,0.16,56,83852548000,False,False,0.0,1.0,,False
25,51,53,0.208,56,83852548000,False,False,0.0,1.0,,False
26,53,54,0.014,56,,,,,,,False
27,54,56,0.047,56,83818993568,True,True,0.0,1.0,,False
28,56,57,0.161,56,83818993568,False,False,0.0,1.0,,False
29,57,58,0.208,56,83818993568,False,False,0.0,1.0,,False
30,58,59,0.032,56,71370299296,True,True,0.0,1.0,,False
31,59,67,0.165,56,71370299296,False,False,0.0,1.0,,False
32,67,68,0.011,56,71370299296,False,False,0.0,1.0,,False
33,68,69,0.012,72,71370299296,False,False,0.0,1.0,,False
34,69,76,0.106,72,71370299296,False,False,0.0,1.0,,False
35,76,80,0.049,72,71370299296,False,False,0.0,1.0,,False
36,80,89,0.332,72,71370299296,False,False,0.0,1.0,,False
37,89,93,0.051,72,71370299296,False,False,0.0,1.0,,False
38,93,108,0.205,72,71370299296,False,False,0.0,1.0,,False
39,108,109,0.398,72,71403853728,True,True,0.0,1.0,71403853728,True
40,109,110,0.129,72,71403853728,False,False,0.0,1.0,71403853728,True
41,110,111,0.216,72,71403853728,False,False,0.0,1.0,71403853728,True
42,111,112,0.087,72,71403853728,False,False,0.0,1.0,91435849632,False
43,112,132,0.507,89,152504915872,True,True,0.0,1.0,91435849632,False
44,132,133,0.083,56,91435849632,True,True,0.0,1.0,184583296649,False
45,133,134,0.048,56,91435849632,False,False,0.0,1.0,184583296649,False
46,134,141,0.288,56,91435849632,False,False,0.0,1.0,93683996576,False
47,141,151,0.346,56,91435849632,False,False,0.0,1.0,93683996576,False
48,151,160,0.225,105,91435849632,False,False,0.0,1.0,,False
49,160,163,0.1,105,95831480224,True,True,0.0,1.0,,False
50,163,165,0.033,105,95831480224,False,False,0.0,1.0,350073755273,False
51,165,176,0.235,105,95831480224,False,False,0.0,1.0,75369142834,False
52,176,191,0.337,105,95831480224,False,False,0.0,1.0,682805025330,False
53,191,192,0.036,90,95831480224,False,False,0.0,1.0,75369142834,False
54,192,193,0.009,90,,,,,,845913119282,False
55,193,196,0.075,90,85832259488,True,True,0.0,1.0,793266215474,False
56,196,197,0.013,90,85832259488,False,False,0.0,1.0,,False
57,197,198,0.01,90,85832259488,False,False,0.0,1.0,,False
58,198,199,0.114,90,85832259488,False,False,0.0,1.0,,False
59,199,200,0.013,73,85832259488,False,False,0.0,1.0,,False
60,200,201,0.011,48,89120593824,True,True,0.0,1.0,674684852786,False
61,201,202,0.01,48,89120593824,False,False,0.0,1.0,572075399730,False
62,202,206,0.105,48,89120593824,False,False,0.0,1.0,181294962313,False
63,206,210,0.028,48,,,,,,772428913202,False
64,210,215,0.032,48,85798705056,True,True,0.0,1.0,670121450034,False
65,215,219,0.148,48,85798705056,False,False,0.0,1.0,,False
66,219,222,0.149,48,85563824032,True,True,0.0,1.0,,False
67,222,225,0.146,48,85563824032,False,False,0.0,1.0,,False
68,225,228,0.147,48,85563824032,False,False,0.0,1.0,,False
69,228,230,0.043,48,85563824032,False,False,0.0,1.0,,False
70,230,232,0.103,48,85563824032,False,False,0.0,1.0,,False
71,232,235,0.147,48,85530269600,True,True,0.0,1.0,,False
72,235,238,0.146,48,85530269600,False,False,0.0,1.0,,False
73,238,241,0.147,48,85530269600,False,False,0.0,1.0,,False
74,241,244,0.146,48,85530269600,False,False,0.0,1.0,,False
75,244,247,0.147,48,85530269600,False,False,0.0,1.0,,False
76,247,250,0.146,48,150659422112,True,True,0.0,1.0,,False
77,250,252,0.056,48,98314508192,True,True,0.0,1.0,,False
78,252,253,0.069,48,98314508192,False,False,0.0,1.0,,False
79,253,255,0.017,57,151229847456,True,True,0.0,1.0,,False
80,255,256,0.015,57,,,,,,,False
81,256,258,0.064,57,98381617056,True,True,0.0,1.0,,False
82,258,260,0.041,57,98381617056,False,False,0.0,1.0,,False
83,260,263,0.105,57,85328943008,True,True,0.0,1.0,,False
84,263,265,0.011,57,85328943008,False,False,0.0,1.0,,False
85,265,267,0.095,57,85328943008,False,False,0.0,1.0,,False
86,267,269,0.052,57,98415171488,True,True,0.0,1.0,,False
87,269,270,0.053,75,98415171488,False,False,0.0,1.0,,False
88,270,271,0.056,75,76537681824,True,True,0.0,1.0,,False
89,271,272,0.032,75,76537681824,False,False,0.0,1.0,,False
90,272,273,0.052,75,76537681824,False,False,0.0,1.0,,False
91,273,275,0.146,75,76537681824,False,False,0.0,1.0,,False
92,275,278,0.147,75,76537681824,False,False,0.0,1.0,,False
93,278,280,0.147,75,76873226144,True,True,0.0,1.0,,False
94,280,281,0.031,75,76873226144,False,False,0.0,1.0,,False
95,281,283,0.116,75,76437018528,True,True,0.0,1.0,,False
96,283,284,0.146,75,76437018528,False,False,0.0,1.0,,False
97,284,285,0.048,75,76437018528,False,False,0.0,1.0,,False
98,285,286,0.011,75,76437018528,False,False,0.0,1.0,,False
99,286,287,0.088,75,76437018528,False,False,0.0,1.0,,False
100,287,288,0.146,75,76437018528,False,False,0.0,1.0,,False
101,288,289,0.146,75,76437018528,False,False,0.0,1.0,,False
102,289,290,0.143,75,76437018528,False,False,0.0,1.0,,False
103,290,292,0.094,30,102716004914,True,True,0.0,1.0,,False
104,292,293,0.012,30,102716004914,False,False,0.0,1.0,,False
105,293,299,0.077,20,,,,,,,False
