,begin_shape_index,end_shape_index,length,speed,segment_id,starts_segment,ends_segment,begin_percent,end_percent,matched_segment_id,match
0,0,1,0.022,48,77946967968,False,False,0.0,1.0,,False
1,1,2,0.011,48,77946967968,False,False,0.0,1.0,,False
2,2,5,0.025,30,,,,,,,False
3,5,6,0.011,48,79188481952,False,False,0.0,1.0,,False
4,6,8,0.169,48,79188481952,False,False,0.0,1.0,,False
5,8,9,0.033,48,79188481952,False,False,0.0,1.0,,False
6,9,10,0.013,48,79188481952,False,False,0.0,1.0,,False
7,10,11,0.015,48,79154927520,True,True,0.0,1.0,,False
8,11,12,0.038,48,79154927520,False,False,0.0,1.0,77946967968,False
9,12,13,0.028,48,79154927520,False,False,0.0,1.0,79154927520,True
10,13,14,0.097,48,79154927520,False,False,0.0,1.0,79154927520,True
11,14,15,0.108,48,79154927520,False,False,0.0,1.0,212668356233,False
12,15,16,0.038,48,79154927520,False,False,0.0,1.0,91402295200,False
13,16,17,0.02,48,79154927520,False,False,0.0,1.0,91402295200,False
14,17,19,0.016,48,77477205920,True,True,0.0,1.0,,False
15,19,21,0.076,48,77477205920,False,False,0.0,1.0,,False
16,21,24,0.043,48,77477205920,False,False,0.0,1.0,,False
17,24,29,0.087,48,77477205920,False,False,0.0,1.0,,False
18,29,33,0.07,48,77477205920,False,False,0.0,1.0,,False
19,33,34,0.031,48,77477205920,False,False,0.0,1.0,,False
20,34,37,0.014,48,77477205920,False,False,0.0,1.0,,False
21,37,43,0.072,48,77477205920,False,False,0.0,1.0,204715955849,False
22,43,44,0.013,48,77477205920,False,False,0.0,1.0,91771393952,False
23,44,46,0.012,48,79087818656,True,True,0.0,1.0,79121373088,False
24,46,53,0.144,48,79087818656,False,False,0.0,1.0,,False
25,53,55,0.026,48,79087818656,False,False,0.0,1.0,,False
26,55,57,0.014,48,79087818656,False,False,0.0,1.0,,False
27,57,58,0.014,40,99321141152,True,True,0.0,1.0,76839671712,False
28,58,59,0.041,40,99321141152,False,False,0.0,1.0,99321141152,True
29,59,60,0.063,40,96032806816,True,True,0.0,1.0,210554427017,False
30,60,61,0.046,40,96032806816,False,False,0.0,1.0,210554427017,False
31,61,62,0.052,40,94858401696,True,True,0.0,1.0,96636786592,False
32,62,63,0.057,40,94858401696,False,False,0.0,1.0,96636786592,False
33,63,65,0.053,40,96636786592,True,True,0.0,1.0,94824847264,False
34,65,66,0.031,40,96636786592,False,False,0.0,1.0,94824847264,False
35,66,67,0.026,40,96636786592,False,False,0.0,1.0,95797925792,False
36,67,68,0.054,40,91100305312,True,True,0.0,1.0,190287550089,False
37,68,69,0.055,40,91100305312,False,False,0.0,1.0,190287550089,False
38,69,70,0.109,40,145458485152,True,True,0.0,1.0,77275879328,False
39,70,72,0.087,40,71437408160,True,True,0.0,1.0,188542719625,False
40,72,74,0.151,40,71437408160,False,False,0.0,1.0,77275879328,False
41,74,75,0.04,40,71437408160,False,False,0.0,1.0,187032770185,False
42,75,76,0.09,40,145492039584,True,True,0.0,1.0,,False
43,76,78,0.049,40,74088208288,True,True,0.0,1.0,,False
44,78,80,0.137,40,74088208288,False,False,0.0,1.0,,False
45,80,81,0.09,57,73249347488,True,True,0.0,1.0,,False
