,begin_shape_index,end_shape_index,length,speed,segment_id,starts_segment,ends_segment,begin_percent,end_percent,matched_segment_id,match
0,0,1,0.022,48,77946967968,False,False,0.0,1.0,,False
1,1,2,0.011,48,77946967968,False,False,0.0,1.0,,False
2,2,3,0.013,48,77946967968,False,False,0.0,1.0,,False
3,3,4,0.095,48,77946967968,False,False,0.0,1.0,,False
4,4,6,0.067,48,77946967968,False,False,0.0,1.0,,False
5,6,8,0.098,48,77946967968,False,False,0.0,1.0,,False
6,8,9,0.011,48,77946967968,False,False,0.0,1.0,,False
7,9,11,0.078,48,77946967968,False,False,0.0,1.0,,False
8,11,12,0.06,48,77946967968,False,False,0.0,1.0,,False
9,12,14,0.036,48,85261834144,True,True,0.0,1.0,,False
10,14,16,0.018,48,85261834144,False,False,0.0,1.0,,False
11,16,18,0.079,48,85261834144,False,False,0.0,1.0,,False
12,18,19,0.033,48,85261834144,False,False,0.0,1.0,,False
13,19,20,0.004,48,85261834144,False,False,0.0,1.0,,False
14,20,21,0.017,48,85261834144,False,False,0.0,1.0,,False
15,21,22,0.035,48,85261834144,False,False,0.0,1.0,,False
16,22,23,0.095,48,85295388576,True,True,0.0,1.0,85295388576,True
17,23,24,0.047,48,85295388576,False,False,0.0,1.0,85295388576,True
18,24,25,0.015,48,85295388576,False,False,0.0,1.0,,False
19,25,26,0.068,48,85295388576,False,False,0.0,1.0,,False
20,26,27,0.03,75,,,,,,,False
21,27,28,0.007,75,92576700320,True,True,0.0,1.0,,False
22,28,30,0.072,75,92576700320,False,False,0.0,1.0,,False
23,30,31,0.034,75,92576700320,False,False,0.0,1.0,,False
24,31,33,0.028,75,92576700320,False,False,0.0,1.0,190589539977,False
25,33,35,0.031,50,338967238281,True,True,0.0,1.0,,False
26,35,38,0.134,50,190589539977,True,True,0.0,1.0,,False
27,38,39,0.01,50,190589539977,False,False,0.0,1.0,88992242226,False
28,39,40,0.025,50,190589539977,False,False,0.0,1.0,88992242226,False
29,40,45,0.125,50,190589539977,False,False,0.0,1.0,,False
30,45,46,0.007,50,190589539977,False,False,0.0,1.0,,False
31,46,47,0.068,50,190589539977,False,False,0.0,1.0,,False
32,47,48,0.027,50,190589539977,False,False,0.0,1.0,560633338418,False
33,48,49,0.01,50,190589539977,False,False,0.0,1.0,560767556146,False
34,49,50,0.032,50,190589539977,False,False,0.0,1.0,,False
35,50,51,0.01,50,190589539977,False,False,0.0,1.0,,False
36,51,53,0.012,40,102615341618,True,True,0.0,1.0,,False
37,53,60,0.062,40,102615341618,False,False,0.0,1.0,,False
38,60,61,0.12,40,102615341618,False,False,0.0,1.0,,False
39,61,67,0.111,40,102615341618,False,False,0.0,1.0,,False
40,67,68,0.007,40,102615341618,False,False,0.0,1.0,,False
41,68,76,0.082,30,780683303474,True,True,0.0,1.0,,False
42,76,83,0.05,40,780716857906,True,True,0.0,1.0,,False
