,begin_shape_index,end_shape_index,length,speed,segment_id,starts_segment,ends_segment,begin_percent,end_percent,matched_segment_id,match
0,0,1,0.036,57,73249347488,False,False,0.0,1.0,203776431753,False
1,1,2,0.026,57,73249347488,False,False,0.0,1.0,193039013513,False
2,2,3,0.042,57,73249347488,False,False,0.0,1.0,73249347488,True
3,3,4,0.054,57,73282901920,True,True,0.0,1.0,73282901920,True
4,4,5,0.012,57,73282901920,False,False,0.0,1.0,193072567945,False
5,5,6,0.056,57,73282901920,False,False,0.0,1.0,78014076832,False
6,6,14,0.084,57,73282901920,False,False,0.0,1.0,193005459081,False
7,14,17,0.017,57,92811581344,True,True,0.0,1.0,78014076832,False
8,17,18,0.006,57,92811581344,False,False,0.0,1.0,73282901920,False
9,18,19,0.01,57,92811581344,False,False,0.0,1.0,339168564873,False
10,19,20,0.053,57,78014076832,True,True,0.0,1.0,339168564873,False
11,20,21,0.052,57,78014076832,False,False,0.0,1.0,78584502176,False
12,21,22,0.05,57,73652000672,True,True,0.0,1.0,212198594185,False
13,22,23,0.013,57,73652000672,False,False,0.0,1.0,73652000672,True
14,23,24,0.041,57,73652000672,False,False,0.0,1.0,97274320800,False
15,24,25,0.051,57,78584502176,True,True,0.0,1.0,75833038752,False
16,25,26,0.054,57,78584502176,False,False,0.0,1.0,75833038752,False
17,26,27,0.064,57,97274320800,True,True,0.0,1.0,175053837961,False
18,27,28,0.041,57,97274320800,False,False,0.0,1.0,175087392393,False
19,28,31,0.063,57,97207211936,True,True,0.0,1.0,78450284448,False
20,31,34,0.044,57,97207211936,False,False,0.0,1.0,175120946825,False
21,34,36,0.104,57,145055831968,True,True,0.0,1.0,175120946825,False
22,36,37,0.049,57,78450284448,True,True,0.0,1.0,74625079200,False
23,37,39,0.05,57,78450284448,False,False,0.0,1.0,677805414962,False
24,39,41,0.045,57,79020709792,True,True,0.0,1.0,339504109193,False
25,41,42,0.026,57,79020709792,False,False,0.0,1.0,79020709792,True
26,42,44,0.027,57,79020709792,False,False,0.0,1.0,186999215753,False
27,44,46,0.101,57,148209948576,True,True,0.0,1.0,226224346761,False
28,46,47,0.021,57,97240766368,True,True,0.0,1.0,97240766368,True
29,47,49,0.055,57,97240766368,False,False,0.0,1.0,43223996978,False
30,49,50,0.023,49,194213418633,True,True,0.0,1.0,43223996978,False
31,50,51,0.052,49,194213418633,False,False,0.0,1.0,74021099424,False
32,51,53,0.052,49,194213418633,False,False,0.0,1.0,35909130802,False
33,53,54,0.071,57,74021099424,True,True,0.0,1.0,74021099424,True
34,54,55,0.073,57,74021099424,False,False,0.0,1.0,72578258848,False
35,55,56,0.031,57,72578258848,True,True,0.0,1.0,72578258848,True
36,56,57,0.04,57,72578258848,False,False,0.0,1.0,671128082994,False
37,57,58,0.075,57,72578258848,False,False,0.0,1.0,42250918450,False
38,58,59,0.107,40,180120557193,True,True,0.0,1.0,585027410482,False
39,59,60,0.105,40,180120557193,False,False,0.0,1.0,180120557193,True
40,60,61,0.109,50,180120557193,False,False,0.0,1.0,180120557193,True
41,61,63,0.1,50,180120557193,False,False,0.0,1.0,180120557193,True
42,63,65,0.105,50,180120557193,False,False,0.0,1.0,180120557193,True
43,65,68,0.104,50,180120557193,False,False,0.0,1.0,85295388576,False
44,68,70,0.098,50,180120557193,False,False,0.0,1.0,85295388576,False
45,70,71,0.01,50,180120557193,False,False,0.0,1.0,85295388576,False
46,71,73,0.015,50,,,,,,85295388576,False
47,73,76,0.037,50,344470165129,True,True,0.0,1.0,85295388576,False
48,76,77,0.095,48,85295388576,True,True,0.0,1.0,85295388576,True
49,77,78,0.047,48,85295388576,False,False,0.0,1.0,85295388576,True
50,78,79,0.015,48,85295388576,False,False,0.0,1.0,85295388576,True
51,79,80,0.068,48,85295388576,False,False,0.0,1.0,85295388576,True
52,80,81,0.03,75,,,,,,,False
53,81,82,0.007,75,92576700320,True,True,0.0,1.0,,False
54,82,84,0.072,75,92576700320,False,False,0.0,1.0,,False
55,84,85,0.034,75,92576700320,False,False,0.0,1.0,46143232562,False
56,85,87,0.028,75,92576700320,False,False,0.0,1.0,190589539977,False
57,87,89,0.031,50,338967238281,True,True,0.0,1.0,190589539977,False
58,89,92,0.134,50,190589539977,True,True,0.0,1.0,,False
59,92,93,0.01,50,190589539977,False,False,0.0,1.0,,False
60,93,99,0.077,20,,,,,,,False
