,begin_shape_index,end_shape_index,length,speed,segment_id,starts_segment,ends_segment,begin_percent,end_percent,matched_segment_id,match
0,0,1,0.043,25,,,,,,40271206962,False
1,1,3,0.012,25,,,,,,64799496754,False
2,3,5,0.021,40,174349194889,True,True,0.0,1.0,,False
3,5,17,0.134,40,174349194889,False,False,0.0,1.0,,False
4,17,19,0.024,40,174349194889,False,False,0.0,1.0,,False
5,19,23,0.049,40,174349194889,False,False,0.0,1.0,173241898633,False
6,23,24,0.06,40,174349194889,False,False,0.0,1.0,,False
7,24,26,0.019,40,174349194889,False,False,0.0,1.0,,False
8,26,29,0.061,40,174349194889,False,False,0.0,1.0,207333201545,False
9,29,31,0.019,40,219513460361,True,True,0.0,1.0,207333201545,False
10,31,32,0.019,40,219513460361,False,False,0.0,1.0,207333201545,False
11,32,33,0.024,40,219513460361,False,False,0.0,1.0,207333201545,False
12,33,34,0.026,40,219513460361,False,False,0.0,1.0,207333201545,False
13,34,35,0.009,56,173241898633,True,True,0.0,1.0,207333201545,False
14,35,36,0.086,56,173241898633,False,False,0.0,1.0,173241898633,True
15,36,37,0.095,56,173241898633,False,False,0.0,1.0,173241898633,True
16,37,38,0.093,56,173241898633,False,False,0.0,1.0,,False
17,38,39,0.095,56,173241898633,False,False,0.0,1.0,,False
18,39,40,0.095,56,173241898633,False,False,0.0,1.0,,False
19,40,43,0.033,56,173241898633,False,False,0.0,1.0,,False
20,43,44,0.007,56,173241898633,False,False,0.0,1.0,680389106226,False
21,44,45,0.012,56,,,,,,,False
22,45,46,0.041,56,173342561929,True,True,0.0,1.0,,False
23,46,47,0.099,56,173342561929,False,False,0.0,1.0,173275453065,False
24,47,48,0.1,56,173342561929,False,False,0.0,1.0,849704770098,False
25,48,49,0.094,56,173342561929,False,False,0.0,1.0,629419924018,False
26,49,50,0.095,56,173342561929,False,False,0.0,1.0,,False
27,50,51,0.094,56,173342561929,False,False,0.0,1.0,,False
28,51,52,0.094,40,173342561929,False,False,0.0,1.0,,False
29,52,53,0.094,56,173342561929,False,False,0.0,1.0,222432695945,False
30,53,54,0.071,56,173342561929,False,False,0.0,1.0,222432695945,False
31,54,55,0.024,56,173342561929,False,False,0.0,1.0,,False
32,55,56,0.094,56,173342561929,False,False,0.0,1.0,,False
33,56,57,0.094,56,173342561929,False,False,0.0,1.0,,False
34,57,58,0.095,56,173376116361,True,True,0.0,1.0,,False
35,58,59,0.18,40,185153721993,True,True,0.0,1.0,,False
36,59,60,0.029,40,185153721993,False,False,0.0,1.0,,False
37,60,61,0.028,49,185153721993,False,False,0.0,1.0,,False
38,61,62,0.153,49,185153721993,False,False,0.0,1.0,,False
39,62,63,0.027,49,185153721993,False,False,0.0,1.0,,False
40,63,64,0.028,49,184818177673,True,True,0.0,1.0,,False
41,64,65,0.153,49,184818177673,False,False,0.0,1.0,,False
42,65,66,0.028,49,184818177673,False,False,0.0,1.0,,False
43,66,67,0.028,49,184818177673,False,False,0.0,1.0,,False
44,67,68,0.152,49,184818177673,False,False,0.0,1.0,,False
45,68,69,0.028,60,184818177673,False,False,0.0,1.0,,False
46,69,70,0.014,60,,,,,,,False
47,70,71,0.037,60,174047205001,True,True,0.0,1.0,,False
48,71,73,0.136,60,174047205001,False,False,0.0,1.0,,False
49,73,74,0.034,60,174047205001,False,False,0.0,1.0,,False
50,74,75,0.03,60,174047205001,False,False,0.0,1.0,,False
51,75,76,0.151,60,174047205001,False,False,0.0,1.0,,False
52,76,77,0.028,60,174047205001,False,False,0.0,1.0,,False
53,77,78,0.208,60,174047205001,False,False,0.0,1.0,,False
54,78,79,0.208,60,174047205001,False,False,0.0,1.0,,False
55,79,80,0.094,50,176194688649,True,True,0.0,1.0,,False
56,80,81,0.094,50,176194688649,False,False,0.0,1.0,,False
57,81,85,0.05,50,176194688649,False,False,0.0,1.0,,False
58,85,90,0.041,50,176194688649,False,False,0.0,1.0,,False
59,90,105,0.114,50,176194688649,False,False,0.0,1.0,,False
60,105,112,0.059,50,222399141513,True,True,0.0,1.0,,False
61,112,119,0.046,50,222399141513,False,False,0.0,1.0,,False
62,119,128,0.062,50,222399141513,False,False,0.0,1.0,,False
63,128,132,0.046,40,193710102153,True,True,0.0,1.0,,False
64,132,144,0.089,40,193710102153,False,False,0.0,1.0,,False
65,144,145,0.015,40,,,,,,,False
66,145,154,0.095,40,123849774729,True,True,0.0,1.0,,False
67,154,160,0.052,40,123849774729,False,False,0.0,1.0,,False
68,160,162,0.013,40,123849774729,False,False,0.0,1.0,,False
69,162,166,0.056,40,123849774729,False,False,0.0,1.0,,False
70,166,182,0.18,40,123849774729,False,False,0.0,1.0,,False
71,182,204,0.362,40,123849774729,False,False,0.0,1.0,,False
72,204,211,0.034,40,123849774729,False,False,0.0,1.0,,False
73,211,214,0.058,20,,,,,,,False
74,214,227,0.083,10,,,,,,,False
